month,minute,Glob irrad,Def_irrad,Temp,RH,Rain Fall,WD,WS
1,5,-1,0,-3.3,93.1,0.01,170.5,3.3
1,10,-1,0,-3.3,93.3,0,169,3.3
1,15,-1,0,-3.3,93.1,0,164.6,3.2
1,20,-1,0,-3.3,93,0,160.7,3.2
1,25,-1,0,-3.4,92.9,0,147.2,3.3
1,30,-1,0,-3.4,92.9,0,150.5,3.2
1,35,-1,0,-3.4,92.9,0,148.1,3.2
1,40,-1,0,-3.5,93,0,166.4,3.1
1,45,-1,0,-3.5,93,0,163.4,3.1
1,50,-1,0,-3.5,93.1,0,161.6,3.1
1,55,-1,0,-3.4,92.9,0.02,153.4,3.2
1,100,-1,0,-3.4,92.6,0,162.3,3.2
1,105,-1,0,-3.4,92.4,0,162.2,3.2
1,110,-1,0,-3.3,92.3,0,161.5,3.2
1,115,-1,0,-3.4,92.2,0,171.6,3.2
1,120,-1,0,-3.4,92.3,0.01,172.6,3.2
1,125,-1,0,-3.4,92.4,0.01,170.6,3.3
1,130,-1,0,-3.4,92.8,0,169,3.2
1,135,-1,0,-3.4,92.6,0.01,162.3,3.3
1,140,-1,0,-3.4,92.2,0,171.2,3.3
1,145,-1,0,-3.4,92.1,0,180.4,3.2
1,150,-1,0,-3.4,92,0.01,179.5,3.2
1,155,-1,0,-3.3,91.9,0,191.4,3.2
1,200,-1,0,-3.3,91.8,0,178.8,3.4
1,205,-1,0,-3.3,91.7,0.01,178.3,3.5
1,210,-1,0,-3.4,91.8,0,181.1,3.5
1,215,-1,0,-3.4,91.7,0,171.2,3.5
1,220,-1,0,-3.4,91.5,0.01,172.2,3.4
1,225,-1,0,-3.4,91.5,0,171.3,3.3
1,230,-1,0,-3.4,91.3,0.01,183.7,3.2
1,235,-1,0,-3.4,91.2,0.01,169,3.1
1,240,-1,0,-3.5,91.9,0,168.8,3.2
1,245,-1,0,-3.6,92.3,0.01,171.1,3.1
1,250,-1,0,-3.6,92.1,0,174.6,2.9
1,255,-1,0,-3.5,91.9,0.01,176,3
1,300,-1,0,-3.5,91.7,0.01,171.9,3
1,305,-1,0,-3.5,91.7,0.01,169.8,2.9
1,310,-1,0,-3.5,91.6,0.01,170.2,2.9
1,315,-1,0,-3.5,91.5,0.01,166.4,3
1,320,-1,0,-3.6,91.9,0.01,153.6,3.1
1,325,-1,0,-3.7,92.2,0.01,163.5,3.2
1,330,-1,0,-3.7,92.4,0,177.3,3.2
1,335,-1,0,-3.7,92.2,0,174.9,3.2
1,340,-1,0,-3.6,92,0,176.6,3.3
1,345,-1,0,-3.6,91.9,0,180.5,3.3
1,350,-1,0,-3.6,92.2,0,180.2,3.2
1,355,-1,0,-3.6,92.3,0.01,181.1,3.2
1,400,-1,0,-3.6,92.1,0.01,178.7,3.3
1,405,-1,0,-3.6,91.8,0,166.3,3.3
1,410,-1,0,-3.6,92,0,162,3.4
1,415,-1,0,-3.6,92.1,0,157.6,3.4
1,420,-1,0,-3.6,91.8,0,183.5,3.4
1,425,-1,0,-3.6,91.7,0.01,171,3.4
1,430,-1,0,-3.7,92.1,0,180.3,3.3
1,435,-1,0,-3.8,92.4,0,168.2,3.2
1,440,-1,0,-3.8,92.4,0,167.9,3.2
1,445,-1,0,-3.8,92.6,0,166.9,3.1
1,450,-1,0,-3.8,92.7,0.01,160.9,3.1
1,455,-1,0,-3.8,92.8,0,150.7,3.1
1,500,-1,0,-3.9,92.7,0,162.9,3
1,505,-1,0,-3.9,92.8,0,162.3,3
1,510,-1,0,-3.9,93,0,163.9,3
1,515,-1,0,-3.9,93.1,0.02,155.5,2.9
1,520,-1,0,-3.9,93.2,0,159.9,2.8
1,525,-1,0,-3.9,93.3,0,153.8,2.8
1,530,-1,0,-4,93.5,0,154.5,2.8
1,535,-1,0,-3.9,93.6,0,163.9,2.7
1,540,-1,0,-3.9,93.4,0.01,167.8,2.7
1,545,-1,0,-4,93.5,0,168.6,2.7
1,550,-1,0,-4,93.7,0,165.4,2.6
1,555,-1,0,-3.9,93.6,0.01,168,2.6
1,600,-1,0,-4,93.7,0,160.8,2.7
1,605,-1,0,-4,93.7,0,165.1,2.5
1,610,-1,0,-4,93.7,0,176.5,2.5
1,615,-1,0,-4,93.7,0,172.6,2.5
1,620,-1,0,-4,93.5,0.01,165,2.5
1,625,-1,0,-4.1,93.4,0,186.3,2.6
1,630,-1,0,-4.1,93.4,0,185.8,2.6
